OrderID,OrderDate,Year,Region,Category,SalesAmount,Quantity,Channel,CustomerID
ORD100098,2025-01-18,2025.0,North,,2187.79,12.0,Marketplace,CUST1300
ORD100099,2025-07-29,2025.0,,Home & Kitchen,N/A,2.0,Retail,CUST1180
ORD100100,2024-04-16,2024.0,South,,4234.6,9.0,,CUST1219
ORD100101,2026-05-15,2026.0,SOUTH,Home & Kitchen,3064.52,9.0,Online,CUST1158
ORD100102,2024-12-13,2024.0,SOUTH,Grocery,3717.8,3.0,,CUST1214
ORD100103,2025-04-09,2025.0,,electronics ,4422.54,20.0,Online,CUST1139
ORD100104,2025-03-29,2025.0,East,Home,613.4,10.0,,CUST1157
ORD100105,2024-02-16,2024.0,South,Fashion,3848.38,10.0,Retail,CUST1254
ORD100106,2026-02-03,2026.0,South,electronics ,3356.84,13.0,Online,CUST1235
ORD100107,2024-03-20,2024.0,SOUTH,Home & Kitchen,620.11,,Retail,CUST1235
ORD100108,2026-05-01,2026.0,North,Home,2032.23,10.0,Retail,CUST1086
ORD100109,2024-03-19,2024.0,,Fashion,4793.21,5.0,Marketplace,CUST1131
ORD100110,2024-07-21,2024.0,North,Home,3158.35,19.0,,CUST1289
ORD100111,2025-10-20,2025.0,SOUTH,Fashion,388.02,10.0,Retail,CUST1180
ORD100112,2025-06-03,2025.0,East,,3241.1,3.0,,CUST1196
ORD100113,2025-04-18,2025.0,North,Grocery,2879.7,20.0,online,CUST1031
ORD100114,2025-04-06,2025.0,SOUTH,Electronics,904.17,15.0,online,CUST1081
ORD100115,2025-01-07,2025.0,East,Home & Kitchen,3956.67,3.0,Retail,CUST1197
ORD100116,2024-10-17,2024.0,north,,453.43,12.0,Retail,CUST1200
ORD100117,2024-05-12,2024.0,West,Home & Kitchen,4075.26,17.0,Online,CUST1216
ORD100118,2025-06-04,2025.0,South,Fashion,2457.04,5.0,Marketplace,CUST1051
ORD100119,2025-06-03,2025.0,North,Home & Kitchen,3843.22,13.0,Marketplace,CUST1084
ORD100120,2026-01-08,2026.0,South,Grocery,3774.34,8.0,,CUST1240
ORD100121,2026-05-05,2026.0,West,Grocery,3901.71,14.0,Marketplace,CUST1070
ORD100122,2024-09-13,2024.0,North,Home & Kitchen,4263.27,6.0,Retail,CUST1262
ORD100123,2024-05-30,2024.0,,Grocery,4655.84,13.0,,CUST1197
ORD100124,2024-03-24,2024.0,,Home & Kitchen,N/A,10.0,online,CUST1071
ORD100125,2026-02-16,,North,Electronics,4183.07,20.0,,CUST1147
ORD100126,2024-08-31,2024.0,,electronics ,598.75,20.0,,
ORD100127,2025-06-11,2025.0,North,electronics ,2874.79,3.0,,CUST1034
ORD100128,2025-06-22,2025.0,North,Grocery,N/A,12.0,Retail,CUST1182
ORD100129,2026-03-18,2026.0,North,,3795.56,12.0,,CUST1089
ORD100130,2026-04-30,2026.0,SOUTH,Home,362.35,15.0,Online,CUST1022
ORD100131,2026-03-21,2026.0,north,Grocery,2738.0,7.0,Retail,CUST1024
ORD100132,2025-11-02,2025.0,West,Home & Kitchen,4784.57,6.0,online,CUST1188
ORD100133,2026-03-27,2026.0,North,Grocery,4120.59,11.0,Online,CUST1151
ORD100134,2024-11-09,2024.0,West,Fashion,3647.73,20.0,online,CUST1029
ORD100135,2024-03-17,2024.0,SOUTH,Home & Kitchen,204.15,15.0,Online,CUST1120
ORD100136,2026-03-08,2026.0,North,electronics ,2277.12,15.0,Online,CUST1271
ORD100137,2025-01-10,2025.0,North,Electronics,2520.27,18.0,Online,CUST1133
ORD100138,2025-12-21,2025.0,West,Home,4271.49,15.0,Online,CUST1163
ORD100139,2025-11-14,2025.0,East,,3562.34,6.0,Retail,CUST1062
ORD100140,2024-07-24,2024.0,East,electronics ,2363.66,5.0,,CUST1033
ORD100141,2024-11-12,2024.0,West,,2895.76,11.0,Online,CUST1264
ORD100142,2024-12-18,2024.0,north,Home,688.71,2.0,Online,CUST1155
ORD100143,2024-06-17,2024.0,north,Fashion,1290.5,18.0,Retail,CUST1155
ORD100144,2025-09-21,2025.0,north,Home,3141.17,11.0,,CUST1014
ORD100145,2024-03-24,2024.0,SOUTH,Home,2112.1,16.0,,CUST1154
ORD100146,2025-05-09,2025.0,West,Electronics,832.5,15.0,Marketplace,CUST1073
ORD100147,2024-11-16,2024.0,East,Grocery,1884.17,11.0,Marketplace,CUST1136
ORD100148,2025-04-05,2025.0,West,,1278.94,6.0,Retail,CUST1160
ORD100149,2024-07-13,2024.0,West,Fashion,495.74,15.0,Marketplace,CUST1180
ORD100150,2024-02-19,2024.0,SOUTH,Home & Kitchen,2706.62,14.0,Marketplace,CUST1187
ORD100151,2026-02-21,2026.0,north,Home,1478.58,15.0,,CUST1060
ORD100152,2024-05-11,2024.0,East,electronics ,3787.08,17.0,online,CUST1023
ORD100153,2024-02-09,2024.0,West,Home,2601.75,20.0,Retail,CUST1153
ORD100154,2025-08-30,2025.0,SOUTH,electronics ,4087.96,4.0,online,CUST1013
ORD100155,2025-09-03,2025.0,,electronics ,3620.93,6.0,,CUST1194
ORD100156,2024-05-31,2024.0,SOUTH,Electronics,2233.14,14.0,Marketplace,CUST1241
ORD100157,2026-05-18,2026.0,South,electronics ,3328.02,11.0,Marketplace,CUST1272
ORD100158,2024-12-16,2024.0,SOUTH,Home & Kitchen,1358.59,8.0,Retail,CUST1115
ORD100159,2024-10-31,2024.0,West,Fashion,2824.41,9.0,Retail,CUST1278
ORD100160,2025-01-23,2025.0,,,258.23,3.0,Retail,CUST1131
ORD100161,2026-02-04,2026.0,north,Home & Kitchen,590.67,8.0,Marketplace,CUST1271
ORD100162,2024-08-19,2024.0,SOUTH,Grocery,3865.29,,,CUST1080
ORD100163,2025-02-20,2025.0,SOUTH,Home,1471.86,2.0,Online,CUST1118
ORD100164,2025-07-01,2025.0,South,Grocery,920.15,13.0,online,CUST1148
,2024-02-08,2024.0,East,Fashion,3224.5,5.0,,CUST1098
ORD100166,2026-04-08,2026.0,East,Home & Kitchen,3696.26,19.0,Marketplace,CUST1207
ORD100167,2026-04-26,2026.0,North,Home,2413.4,1.0,Retail,CUST1228
ORD100168,2026-02-10,2026.0,north,Electronics,1829.78,4.0,online,CUST1207
ORD100169,2025-12-03,2025.0,East,Home & Kitchen,4584.85,20.0,Marketplace,CUST1068
ORD100170,2025-05-04,2025.0,West,Home & Kitchen,2380.6,7.0,Marketplace,CUST1041
ORD100171,2025-06-22,2025.0,north,Electronics,2760.86,19.0,,CUST1167
ORD100172,2026-05-24,2026.0,north,Grocery,2576.36,15.0,Marketplace,CUST1233
ORD100173,2025-07-31,2025.0,SOUTH,Electronics,4091.44,19.0,Online,CUST1176
ORD100174,2025-12-18,2025.0,North,Grocery,,5.0,online,CUST1195
ORD100175,2025-04-04,2025.0,SOUTH,Home & Kitchen,708.3,4.0,Marketplace,CUST1201
ORD100176,2025-06-25,2025.0,,Electronics,2341.87,14.0,,CUST1117
ORD100177,2024-09-10,2024.0,SOUTH,,4056.92,1.0,Marketplace,CUST1051
ORD100178,2025-08-31,2025.0,North,Home,2041.21,7.0,Online,CUST1148
ORD100179,2024-08-27,2024.0,north,,1637.29,5.0,,CUST1153
ORD100180,2024-10-08,2024.0,South,Home & Kitchen,2801.46,12.0,online,CUST1163
ORD100181,2025-12-14,2025.0,,electronics ,4254.24,5.0,online,CUST1287
ORD100182,2025-02-26,2025.0,South,Fashion,3251.19,12.0,Online,CUST1097
ORD100183,2024-02-22,2024.0,,Electronics,3820.4,18.0,Marketplace,CUST1170
ORD100184,,2024.0,SOUTH,Electronics,3783.94,20.0,Marketplace,CUST1122
ORD100185,2025-07-19,2025.0,SOUTH,Fashion,1830.24,15.0,Online,CUST1240
ORD100186,2026-02-18,2026.0,West,Electronics,1145.31,9.0,,CUST1296
ORD100187,2026-01-07,2026.0,West,electronics ,2521.54,11.0,Retail,CUST1250
ORD100188,2026-01-10,2026.0,,Fashion,3615.55,18.0,Online,CUST1038
ORD100189,2026-04-17,2026.0,,Home & Kitchen,3550.49,,,CUST1030
ORD100190,2025-09-24,2025.0,SOUTH,Grocery,,14.0,Online,
ORD100191,2026-01-09,,,Home & Kitchen,4040.53,4.0,Online,CUST1123
ORD100192,2024-07-15,2024.0,,Grocery,4798.52,8.0,Marketplace,CUST1041
ORD100193,2025-10-31,2025.0,West,Grocery,2406.23,6.0,Online,CUST1222
ORD100194,2025-10-22,2025.0,North,electronics ,1187.34,19.0,online,CUST1038
ORD100195,2025-12-01,2025.0,North,Home,1606.7,19.0,Marketplace,CUST1203
ORD100196,2024-03-19,2024.0,,Grocery,2725.78,5.0,Online,CUST1177
ORD100197,2024-02-24,2024.0,north,,2998.26,11.0,Online,CUST1230
ORD100198,2025-05-17,2025.0,South,Home & Kitchen,1931.36,10.0,Marketplace,CUST1042
ORD100199,2024-10-01,2024.0,SOUTH,Grocery,577.43,,Retail,CUST1138
ORD100200,2024-04-14,2024.0,north,electronics ,180.0,3.0,,CUST1166
,2025-01-29,2025.0,SOUTH,electronics ,4891.96,6.0,online,CUST1137
ORD100202,2024-11-04,2024.0,East,Grocery,3924.2,8.0,online,CUST1100
ORD100203,2025-04-13,2025.0,East,,4030.18,11.0,online,CUST1069
ORD100204,2024-11-03,2024.0,East,Home,4845.19,16.0,,CUST1166
ORD100205,2025-01-20,2025.0,north,Home,2750.86,18.0,Online,CUST1236
ORD100206,2025-12-26,2025.0,North,,3985.48,5.0,Retail,CUST1078
ORD100207,2026-01-02,2026.0,north,Grocery,2695.12,14.0,,CUST1184
ORD100208,2025-12-19,2025.0,North,Electronics,3305.13,20.0,Online,CUST1204
ORD100209,2026-02-09,2026.0,North,Fashion,3746.92,19.0,Marketplace,CUST1200
ORD100210,2025-04-19,2025.0,East,Electronics,1512.39,3.0,Online,CUST1072
ORD100211,2024-12-22,2024.0,West,Fashion,2218.92,11.0,Online,CUST1058
ORD100212,2024-01-24,2024.0,South,Home & Kitchen,913.54,18.0,online,CUST1118
ORD100213,2026-03-27,2026.0,West,Grocery,,7.0,online,CUST1199
ORD100214,2024-01-05,2024.0,,,553.67,6.0,Retail,CUST1234
ORD100215,2024-04-26,2024.0,SOUTH,Fashion,3075.98,12.0,Retail,CUST1088
ORD100216,2026-04-13,2026.0,north,Electronics,1600.27,4.0,Marketplace,CUST1072
ORD100217,2025-06-07,2025.0,West,Home,2710.03,6.0,,CUST1147
ORD100218,2024-05-23,2024.0,,Fashion,2448.81,13.0,,CUST1253
ORD100219,2025-02-22,2025.0,West,Home,202.76,10.0,Online,CUST1275
ORD100220,2024-10-22,2024.0,,Grocery,610.39,18.0,Retail,CUST1021
ORD100221,2026-02-17,2026.0,North,Home & Kitchen,3769.16,2.0,online,CUST1044
ORD100222,2025-03-25,2025.0,South,,3461.21,20.0,online,CUST1071
ORD100223,2026-03-14,2026.0,East,electronics ,2716.9,10.0,Retail,CUST1263
ORD100224,2025-11-26,2025.0,West,Electronics,4341.89,5.0,Marketplace,CUST1164
ORD100225,2026-04-28,2026.0,South,electronics ,3157.67,3.0,Online,CUST1142
ORD100226,2025-12-12,2025.0,East,electronics ,,3.0,online,CUST1183
ORD100227,2026-05-20,2026.0,West,,1379.26,11.0,,CUST1289
ORD100228,2026-05-22,2026.0,North,Electronics,3930.25,4.0,Marketplace,CUST1000
ORD100229,2025-03-14,2025.0,SOUTH,Fashion,4666.99,12.0,Retail,CUST1084
ORD100230,2024-02-23,2024.0,South,Grocery,3533.31,,online,CUST1115
ORD100231,,2025.0,,Electronics,2140.45,3.0,Marketplace,CUST1052
ORD100232,2024-04-15,2024.0,,,709.07,5.0,Online,CUST1004
ORD100233,2025-09-16,2025.0,SOUTH,Home & Kitchen,2087.96,7.0,Online,CUST1071
ORD100234,2026-02-09,2026.0,West,Fashion,1276.54,8.0,,CUST1145
ORD100235,2026-03-08,2026.0,East,Home,2572.14,10.0,Online,CUST1122
ORD100236,2025-05-21,2025.0,North,electronics ,109.73,11.0,Marketplace,CUST1291
ORD100237,2025-03-06,2025.0,,Electronics,,9.0,Marketplace,CUST1030
ORD100238,2026-03-19,2026.0,,Grocery,2041.27,18.0,,CUST1042
ORD100239,2024-11-13,2024.0,South,electronics ,2952.86,3.0,Retail,CUST1122
ORD100240,2024-02-29,2024.0,north,electronics ,3347.09,6.0,Online,
ORD100241,2024-05-20,2024.0,north,electronics ,3617.79,5.0,Retail,CUST1060
ORD100242,2026-02-28,2026.0,north,Electronics,4876.5,16.0,online,CUST1028
ORD100243,2025-05-26,2025.0,,Electronics,3386.9,17.0,Online,CUST1006
ORD100244,2024-09-07,2024.0,South,,,14.0,Marketplace,CUST1213
ORD100245,2026-01-07,2026.0,North,electronics ,310.73,17.0,Online,CUST1035
ORD100246,2025-04-21,2025.0,North,electronics ,1876.15,10.0,,CUST1188
ORD100247,2025-08-28,2025.0,SOUTH,electronics ,1263.38,,online,
ORD100248,2025-07-08,2025.0,East,Electronics,1912.56,10.0,Online,CUST1121
ORD100249,2025-03-05,2025.0,SOUTH,Fashion,4610.31,17.0,online,CUST1190
ORD100250,2025-04-14,2025.0,South,Home & Kitchen,420.41,14.0,Marketplace,CUST1133
ORD100251,2026-05-21,2026.0,SOUTH,Fashion,N/A,7.0,Marketplace,CUST1299
ORD100252,2024-04-21,2024.0,West,Electronics,4824.94,10.0,online,CUST1061
ORD100253,2024-04-02,2024.0,SOUTH,electronics ,,11.0,Marketplace,CUST1127
ORD100254,2024-12-30,2024.0,,Home,N/A,15.0,,CUST1127
ORD100255,2024-04-06,2024.0,North,Electronics,4913.71,13.0,Retail,CUST1043
ORD100256,2025-08-19,2025.0,North,Home,2244.99,11.0,Online,CUST1236
ORD100257,2024-02-21,2024.0,West,Grocery,,6.0,Retail,CUST1095
ORD100258,2024-10-08,2024.0,north,electronics ,1510.77,18.0,online,CUST1143
ORD100259,2025-01-27,2025.0,north,Home,4020.73,13.0,Retail,CUST1248
ORD100260,2024-12-18,2024.0,South,Electronics,1134.15,9.0,Online,CUST1241
ORD100261,2025-06-26,2025.0,South,Electronics,1243.71,2.0,Marketplace,CUST1198
ORD100262,2024-12-29,2024.0,South,electronics ,3703.62,19.0,Online,CUST1180
ORD100263,2025-08-04,2025.0,,Grocery,919.01,,Online,CUST1112
ORD100264,,2024.0,South,,3598.84,11.0,Online,
ORD100265,2025-08-23,2025.0,north,,409.03,13.0,,CUST1154
ORD100266,2024-11-26,2024.0,,Home & Kitchen,3263.44,18.0,,CUST1114
ORD100267,2025-11-12,2025.0,SOUTH,Fashion,3657.71,19.0,online,CUST1290
ORD100268,2024-02-03,2024.0,north,Home,565.35,11.0,Online,CUST1163
ORD100269,2024-06-20,2024.0,SOUTH,Home & Kitchen,1711.96,,Marketplace,CUST1034
ORD100270,2024-12-24,,West,Grocery,4847.05,16.0,online,CUST1192
ORD100271,2024-04-13,2024.0,,Home & Kitchen,2283.87,2.0,Retail,
ORD100272,2024-09-24,2024.0,West,Home,2757.88,3.0,Retail,CUST1247
ORD100273,2025-12-22,2025.0,West,Home,1688.92,14.0,,CUST1276
ORD100274,2024-09-28,2024.0,West,electronics ,2480.19,1.0,online,CUST1245
ORD100275,2024-07-23,2024.0,North,Grocery,N/A,16.0,Retail,CUST1278
ORD100276,2025-01-31,2025.0,West,Electronics,2352.04,9.0,,CUST1049
ORD100277,2024-03-28,2024.0,,electronics ,351.87,17.0,online,CUST1243
ORD100278,2025-08-09,2025.0,,Home & Kitchen,,17.0,,CUST1075
ORD100279,2024-05-03,2024.0,South,Home,674.62,14.0,Marketplace,CUST1075
ORD100280,2026-05-04,2026.0,,Electronics,2804.0,9.0,,CUST1006
ORD100281,2026-03-16,2026.0,North,Grocery,2854.64,4.0,Online,CUST1051
ORD100282,2026-03-15,2026.0,West,Fashion,2453.64,2.0,Marketplace,CUST1073
ORD100283,2025-09-25,2025.0,East,Home & Kitchen,3741.46,12.0,Online,CUST1155
ORD100284,2024-11-14,2024.0,North,,1537.38,11.0,Retail,CUST1045
ORD100285,2024-07-11,2024.0,West,,1900.86,6.0,Online,CUST1259
ORD100286,2025-02-17,2025.0,North,Home,4173.0,8.0,Online,CUST1184
ORD100287,2025-12-22,2025.0,West,Home & Kitchen,3421.81,16.0,,CUST1242
ORD100288,2025-08-23,2025.0,East,Home & Kitchen,497.44,,Online,CUST1292
ORD100289,2026-03-09,2026.0,SOUTH,Home,2077.06,,Online,CUST1067
ORD100290,2025-10-24,2025.0,north,,3578.07,9.0,online,CUST1178
ORD100291,2025-04-15,2025.0,,electronics ,556.44,12.0,,CUST1144
ORD100292,2024-11-01,2024.0,East,Home & Kitchen,1420.58,10.0,Marketplace,CUST1123
ORD100293,2024-02-28,2024.0,SOUTH,Fashion,3620.35,10.0,Retail,CUST1207
ORD100294,2025-02-01,2025.0,,Home,3581.18,16.0,Retail,CUST1087
ORD100295,2026-05-10,2026.0,West,Home,3639.67,6.0,Retail,CUST1113
ORD100296,2024-12-29,2024.0,East,Fashion,1505.55,16.0,Online,CUST1298
ORD100297,2025-08-17,2025.0,north,Electronics,1939.26,2.0,Marketplace,CUST1102
ORD100298,2024-12-16,2024.0,West,Home,3592.56,16.0,Retail,CUST1090
ORD100299,,2024.0,,,3834.19,3.0,Marketplace,CUST1219
ORD100300,2025-02-17,,north,Home,4752.84,17.0,Marketplace,
ORD100301,2024-01-05,2024.0,East,Fashion,1948.57,6.0,Online,CUST1152
ORD100302,2024-10-24,2024.0,West,Home & Kitchen,1746.53,12.0,Marketplace,CUST1206
ORD100303,2024-01-20,2024.0,SOUTH,Electronics,886.47,2.0,online,CUST1130
ORD100304,2026-02-28,2026.0,SOUTH,Electronics,147.72,14.0,online,CUST1280
ORD100305,2024-09-15,2024.0,SOUTH,Electronics,3325.24,9.0,,CUST1070
ORD100306,2025-03-04,2025.0,North,Fashion,576.01,7.0,Retail,CUST1103
ORD100307,2025-01-01,2025.0,West,Home,2429.29,1.0,Online,CUST1293
ORD100308,2025-11-16,2025.0,North,Home & Kitchen,4528.66,15.0,Retail,CUST1025
ORD100309,2024-04-12,2024.0,East,,2158.68,2.0,Online,CUST1087
ORD100310,2024-12-02,2024.0,SOUTH,Electronics,1746.48,13.0,online,CUST1197
ORD100311,2025-12-07,2025.0,,Home,3496.04,6.0,Online,CUST1247
ORD100312,2026-04-01,2026.0,,Fashion,4319.75,5.0,online,CUST1057
ORD100313,2025-02-25,2025.0,North,Home & Kitchen,2647.85,19.0,Marketplace,CUST1173
ORD100314,2025-06-15,2025.0,SOUTH,Home & Kitchen,1761.46,13.0,Marketplace,CUST1285
ORD100315,2025-09-19,2025.0,,Grocery,4353.61,16.0,Retail,CUST1142
ORD100316,2024-02-21,2024.0,,Home,2248.73,3.0,online,CUST1060
ORD100317,,2025.0,North,electronics ,4138.25,20.0,Retail,CUST1287
ORD100318,2024-07-30,2024.0,,Electronics,4229.37,20.0,,CUST1186
ORD100319,2026-01-03,2026.0,North,Fashion,3186.62,18.0,,CUST1054
ORD100320,2024-02-16,2024.0,SOUTH,Home & Kitchen,1308.73,4.0,online,CUST1097
ORD100321,2026-01-03,2026.0,SOUTH,,659.93,15.0,,CUST1068
,2025-05-25,2025.0,West,,4625.64,6.0,,CUST1065
ORD100323,2024-04-16,2024.0,north,Grocery,3064.52,8.0,Retail,CUST1175
ORD100324,2024-10-28,2024.0,SOUTH,Home & Kitchen,4223.22,11.0,,CUST1102
ORD100325,2024-08-02,2024.0,SOUTH,Home,3267.93,17.0,,CUST1165
